name,team
Najmul Hossain Shanto,Bangladesh
Soumya Sarkar,Bangladesh
Litton Das,Bangladesh
Shakib Al Hasan(c),Bangladesh
Afif Hossain,Bangladesh
Mosaddek Hossain,Bangladesh
Nurul Hasan,Bangladesh
Yasir Ali,Bangladesh
Wessly Madhevere,Zimbabwe
Craig Ervine(c),Zimbabwe
Milton Shumba,Zimbabwe
Sean Williams,Zimbabwe
Sikandar Raza,Zimbabwe
Regis Chakabva,Zimbabwe
Ryan Burl,Zimbabwe
Brad Evans,Zimbabwe
Richard Ngarava,Zimbabwe
Blessing Muzarabani,Zimbabwe
Tendai Chatara,Zimbabwe
Taskin Ahmed,Bangladesh
Hasan Mahmud,Bangladesh
Mustafizur Rahman,Bangladesh
Shakib Al Hasan,Bangladesh
Nasum Ahmed,Bangladesh
Mohammad Rizwan,Pakistan
Babar Azam(c),Pakistan
Mohammad Nawaz,Pakistan
Mohammad Haris,Pakistan
Shan Masood,Pakistan
Iftikhar Ahmed,Pakistan
Shadab Khan,Pakistan
Shaheen Shah Afridi,Pakistan
Naseem Shah,Pakistan
Mohammad Wasim,Pakistan
Haris Rauf,Pakistan
Ebadot Hossain,Bangladesh
Rahmanullah Gurbaz,Afghanistan
Usman Ghani,Afghanistan
Ibrahim Zadran,Afghanistan
Najibullah Zadran,Afghanistan
Gulbadin Naib,Afghanistan
Mohammad Nabi(c),Afghanistan
Rashid Khan,Afghanistan
Azmatullah Omarzai,Afghanistan
Mujeeb Ur Rahman,Afghanistan
Pathum Nissanka,Sri Lanka
Kusal Mendis,Sri Lanka
Dhananjaya de Silva,Sri Lanka
Charith Asalanka,Sri Lanka
Bhanuka Rajapaksa,Sri Lanka
Dasun Shanaka(c),Sri Lanka
Kasun Rajitha,Sri Lanka
Pramod Madushan,Sri Lanka
Lahiru Kumara,Sri Lanka
Maheesh Theekshana,Sri Lanka
Wanindu Hasaranga de Silva,Sri Lanka
Fazalhaq Farooqi,Afghanistan
Fareed Ahmad,Afghanistan
Mohammad Nabi,Afghanistan
Chirag Suri,U.A.E.
Muhammad Waseem,U.A.E.
Kashif Daud,U.A.E.
Vriitya Aravind,U.A.E.
Zawar Farid,U.A.E.
Basil Hameed,U.A.E.
Chundangapoyil Rizwan(c),U.A.E.
Aayan Afzal Khan,U.A.E.
Karthik Meiyappan,U.A.E.
Junaid Siddique,U.A.E.
Vikramjit Singh,Netherlands
Max O'Dowd,Netherlands
Bas de Leede,Netherlands
Colin Ackermann,Netherlands
Tom Cooper,Netherlands
Scott Edwards(c),Netherlands
Roelof van der Merwe,Netherlands
Tim Pringle,Netherlands
Logan van Beek,Netherlands
Fred Klaassen,Netherlands
Paul van Meekeren,Netherlands
Zahoor Khan,U.A.E.
Paul Stirling,Ireland
Andy Balbirnie(c),Ireland
Lorcan Tucker,Ireland
Harry Tector,Ireland
Curtis Campher,Ireland
George Dockrell,Ireland
Gareth Delany,Ireland
Mark Adair,Ireland
Barry McCarthy,Ireland
Fionn Hand,Ireland
Josh Little,Ireland
Jos Buttler(c),England
Alex Hales,England
Dawid Malan,England
Ben Stokes,England
Harry Brook,England
Moeen Ali,England
Liam Livingstone,England
Chris Woakes,England
Mark Wood,England
Sam Curran,England
Adil Rashid,England
Temba Bavuma(c),South Africa
Quinton de Kock,South Africa
Rilee Rossouw,South Africa
Tristan Stubbs,South Africa
Aiden Markram,South Africa
David Miller,South Africa
Wayne Parnell,South Africa
Mehidy Hasan Miraz,Bangladesh
Kagiso Rabada,South Africa
Anrich Nortje,South Africa
Keshav Maharaj,South Africa
Tabraiz Shamsi,South Africa
George Munsey,Scotland
Michael Jones,Scotland
Matthew Cross,Scotland
Richie Berrington(c),Scotland
Michael Leask,Scotland
Calum MacLeod,Scotland
Simi Singh,Ireland
Mark Watt,Scotland
Brad Wheal,Scotland
Josh Davey,Scotland
Safyaan Sharif,Scotland
Chris Greaves,Scotland
Michael van Lingen,Namibia
Divan la Cock,Namibia
Stephan Baard,Namibia
Jan Nicol Loftie-Eaton,Namibia
Jan Frylinck,Namibia
Gerhard Erasmus(c),Namibia
David Wiese,Namibia
JJ Smit,Namibia
Bernard Scholtz,Namibia
Gerhard Erasmus,Namibia
Ben Shikongo,Namibia
David Warner,Australia
Cameron Green,Australia
Mitchell Marsh,Australia
Steven Smith,Australia
Marcus Stoinis,Australia
Glenn Maxwell,Australia
Matthew Wade(c),Australia
Pat Cummins,Australia
Kane Richardson,Australia
Adam Zampa,Australia
Darwish Rasooli,Afghanistan
Naveen-ul-Haq,Afghanistan
Josh Hazlewood,Australia
Kyle Mayers,West Indies
Evin Lewis,West Indies
Brandon King,West Indies
Nicholas Pooran(c),West Indies
Shamarh Brooks,West Indies
Rovman Powell,West Indies
Jason Holder,West Indies
Akeal Hosein,West Indies
Alzarri Joseph,West Indies
Odean Smith,West Indies
Obed McCoy,West Indies
Binura Fernando,Sri Lanka
Chamika Karunaratne,Sri Lanka
Finn Allen,New Zealand
Devon Conway,New Zealand
Kane Williamson(c),New Zealand
Glenn Phillips,New Zealand
Daryl Mitchell,New Zealand
James Neesham,New Zealand
Trent Boult,New Zealand
Tim Southee,New Zealand
Lockie Ferguson,New Zealand
Mitchell Santner,New Zealand
Ish Sodhi,New Zealand
Luke Jongwe,Zimbabwe
Haider Ali,Pakistan
Asif Ali,Pakistan
KL Rahul,India
Rohit Sharma(c),India
Virat Kohli,India
Suryakumar Yadav,India
Axar Patel,India
Hardik Pandya,India
Dinesh Karthik,India
Ravichandran Ashwin,India
Bhuvneshwar Kumar,India
Arshdeep Singh,India
Mohammed Shami,India
Shariz Ahmad,Netherlands
Johnson Charles,West Indies
Dushmantha Chameera,Sri Lanka
Aryan Lakra,U.A.E.
Dasun Shanaka,Sri Lanka
Rishabh Pant,India
Chris Jordan,England
Deepak Hooda,India
Lungi Ngidi,South Africa
Aaron Finch(c),Australia
Tim David,Australia
Matthew Wade,Australia
Mitchell Starc,Australia
Tony Munyonga,Zimbabwe
Wellington Masakadza,Zimbabwe
Danushka Gunathilaka,Sri Lanka
Stephan Myburgh,Netherlands
Brandon Glover,Netherlands
Fakhar Zaman,Pakistan
Alishan Sharafu,U.A.E.
Zane Green,Namibia
Ruben Trumpelmann,Namibia
Ahmed Raza,U.A.E.
Regis Chakabva(c),Zimbabwe
Hazratullah Zazai,Afghanistan
Shoriful Islam,Bangladesh
Phil Salt,England
Ashton Agar,Australia
Heinrich Klaasen,South Africa
Timm van der Gugten,Netherlands
